SourceBlock,Instrument,ExpiryLbl,TenorLbl,Te,SwapTenorY,FwdRate,MoneynessBP,Strike,OptType,PremiumBP,Annuity_Te,PricePerAnnuity,Model,Shift,ImplVol,Status,Greek,BumpType,Bump,Value_Annuity_FD,Value_Price_FD,Value_Annuity_ANA,Value_Price_ANA,AbsErr_Price,RelErr_Price,ParDeltaAnn_per1bp,ParDeltaPrice_per1bp,Note
ATM,ATM 1M x 9Y,1M,9Y,0.0821917808219178,9.0,-0.00027,0.0,-0.00027,CALL/PAYER,44.75,9.160183421584682,0.0004885273355395147,BLACK_SHIFT,0.05,0.08589287153364444,OK,DELTA,FWD_BPS,1.0,0.5048954482595597,4.624934914780785,0.5049117970594623,4.625084672786616,-0.00014975800583094667,-3.237951657665921e-05,-0.004680845248447696,-2.286720857271733e-06,
ATM,ATM 1M x 9Y,1M,9Y,0.0821917808219178,9.0,-0.00027,0.0,-0.00027,CALL/PAYER,44.75,9.160183421584682,0.0004885273355395147,BLACK_SHIFT,0.05,0.08589287153364444,OK,DELTA,FWD_BPS,2.0,0.5048467273111381,4.62448862195677,0.5049117970594623,4.625084672786616,-0.0005960508298459288,-0.0001288734957336052,-0.004680845248447696,-2.286720857271733e-06,
ATM,ATM 1M x 9Y,1M,9Y,0.0821917808219178,9.0,-0.00027,0.0,-0.00027,CALL/PAYER,44.75,9.160183421584682,0.0004885273355395147,BLACK_SHIFT,0.05,0.08589287153364444,OK,VEGA,VOL,0.0025,0.005687347865810516,0.05209714963318251,0.0056873479875249044,0.05209715074810863,-1.114926123646498e-09,-2.1400904034794552e-08,-0.004680845248447696,-2.286720857271733e-06,
ATM,ATM 1M x 9Y,1M,9Y,0.0821917808219178,9.0,-0.00027,0.0,-0.00027,CALL/PAYER,44.75,9.160183421584682,0.0004885273355395147,BLACK_SHIFT,0.05,0.08589287153364444,OK,VEGA,VOL,0.005,0.0056873475006682245,0.052097146288412145,0.0056873479875249044,0.05209715074810863,-4.459696487102427e-09,-8.560346243627027e-08,-0.004680845248447696,-2.286720857271733e-06,
ATM,ATM 1M x 9Y,1M,9Y,0.0821917808219178,9.0,-0.00027,0.0,-0.00027,CALL/PAYER,44.75,9.160183421584682,0.0004885273355395147,BLACK_SHIFT,0.05,0.08589287153364444,OK,VEGA,VOL,0.01,0.005687346040099059,0.052097132909330685,0.0056873479875249044,0.05209715074810863,-1.7838777947865037e-08,-3.424136961753646e-07,-0.004680845248447696,-2.286720857271733e-06,
ATM,ATM 1M x 10Y,1M,10Y,0.0821917808219178,10.0,0.00032,0.0,0.00032,CALL/PAYER,52.5,10.171537208212454,0.0005161461726513838,BLACK_SHIFT,0.05,0.08968499346421832,OK,DELTA,FWD_BPS,0.5,0.5051248103962042,5.137895803736252,0.5051286384408835,5.137934740835142,-3.893709889002395e-05,-7.57835606212759e-06,-0.005702561046928345,-2.9433550589060913e-06,
ATM,ATM 1M x 10Y,1M,10Y,0.0821917808219178,10.0,0.00032,0.0,0.00032,CALL/PAYER,52.5,10.171537208212454,0.0005161461726513838,BLACK_SHIFT,0.05,0.08968499346421832,OK,DELTA,FWD_BPS,1.0,0.5051133433783134,5.137779166537109,0.5051286384408835,5.137934740835142,-0.00015557429803347844,-3.0279539519451104e-05,-0.005702561046928345,-2.9433550589060913e-06,
ATM,ATM 1M x 10Y,1M,10Y,0.0821917808219178,10.0,0.00032,0.0,0.00032,CALL/PAYER,52.5,10.171537208212454,0.0005161461726513838,BLACK_SHIFT,0.05,0.08968499346421832,OK,DELTA,FWD_BPS,2.0,0.5050677310353049,5.137315218893044,0.5051286384408835,5.137934740835142,-0.0006195219420979114,-0.00012057800913158576,-0.005702561046928345,-2.9433550589060913e-06,
ATM,ATM 1M x 10Y,1M,10Y,0.0821917808219178,10.0,0.00032,0.0,0.00032,CALL/PAYER,52.5,10.171537208212454,0.0005161461726513838,BLACK_SHIFT,0.05,0.08968499346421832,OK,VEGA,VOL,0.0025,0.005754783570038197,0.05853499520785322,0.00575478369319522,0.058534996460549465,-1.2526962453462964e-09,-2.140080842390705e-08,-0.005702561046928345,-2.9433550589060913e-06,
ATM,ATM 1M x 10Y,1M,10Y,0.0821917808219178,10.0,0.00032,0.0,0.00032,CALL/PAYER,52.5,10.171537208212454,0.0005161461726513838,BLACK_SHIFT,0.05,0.08968499346421832,OK,VEGA,VOL,0.005,0.005754783200572627,0.05853499144982043,0.00575478369319522,0.058534996460549465,-5.0107290330836385e-09,-8.560227788619914e-08,-0.005702561046928345,-2.9433550589060913e-06,
