C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
DeltaPrice_per1bp (ATM STRADDLE),,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
5Y,-2.3211855913585463e-06,-5.161367537673613e-06,-8.56853715483082e-06,-1.2640517394743442e-05,-1.7324664117427815e-05,-2.2394888142181905e-05,-2.8068826216645918e-05,-3.4315714423993495e-05,-4.114674080727264e-05,-4.837400146140299e-05,-8.768211934553457e-05,-0.0001366286841829812,-0.0001930560411452482,-0.00025955020948390504
7Y,-4.326403608867158e-06,-9.236966473888332e-06,-1.481166201691863e-05,-2.0931482258680774e-05,-2.760103747990251e-05,-3.487819047260588e-05,-4.2706169724813496e-05,-5.102359915572065e-05,-6.0142422659955796e-05,-6.972820220282018e-05,-0.00012046174454737598,-0.00018176576276130216,-0.00024981957248433996,-0.0003294752678823261
10Y,-7.912912621881418e-06,-1.636157075427291e-05,-2.5417017090620254e-05,-3.497266788525661e-05,-4.506606665752537e-05,-5.581665576808932e-05,-6.7160545266647e-05,-7.884380702673124e-05,-9.116133212807518e-05,-0.00010481062701705526,-0.00017329428590585788,-0.00025296509078554067,-0.00034032083770922173,-0.0004406732267846904
15Y,-1.365095112722981e-05,-2.791348505830206e-05,-4.279174011887051e-05,-5.806029491215766e-05,-7.385389434624134e-05,-9.033282594868397e-05,-0.0001070372620272656,-0.00012416681359289349,-0.0001427039308154626,-0.00016160657224155718,-0.0002563512891942697,-0.0003627368433496674,-0.00047587453765564813,-0.0006026294502094284
20Y,-1.974345216060981e-05,-4.012489838137782e-05,-6.120732014942443e-05,-8.202137660809372e-05,-0.0001039168991441595,-0.0001268993016969847,-0.00014927376854850598,-0.00017271282639963687,-0.00019621878691106892,-0.0002207793256734892,-0.00034366779617952864,-0.00047400735431856074,-0.0006109947759890252,-0.0007603105322461977
25Y,-2.598098016154708e-05,-5.259064740861273e-05,-8.019224622768507e-05,-0.00010748252299763732,-0.0001353279632034492,-0.0001638289224124772,-0.00019189794241893302,-0.0002204457246595957,-0.00025022381766760284,-0.00028029654137352015,-0.000432762444977031,-0.0005875782206333251,-0.0007482642171107458,-0.0009200242400789744
30Y,-3.234714040092453e-05,-6.559246869495537e-05,-9.966963933442875e-05,-0.00013357691120199198,-0.00016832229240656198,-0.0002028438853179662,-0.00023630992045184273,-0.00026909957368496365,-0.00030276222906996784,-0.00033787814841097655,-0.0005168570941981442,-0.0006971666818879113,-0.0008825002140327251,-0.001078329536024481
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
DeltaPrice_per1bp (OTM) - Collars/Strangles,,,,,,,,,,,,,,
,Collars,,,,,,ATM,Strangles,,,,,,
,50,100,150,200,300,400,ATM,50,100,150,200,300,400,
1M2Y,,,,,,,,,,,,,,
1M5Y,3.536038474341517e-06,,,,,,,1.672331702596424e-06,,,,,,
1M10Y,4.2929666988186655e-05,,,,,,,4.169512681600627e-06,,,,,,
1M20Y,0.00016778403860619783,7.529377575856365e-06,,,,,,-5.7782497581694255e-06,-1.6949295038406908e-06,,,,,
1M30Y,0.00026063168000847297,1.5367870543189954e-05,7.538777427400129e-07,,,,,-5.217067445454226e-05,-1.1398485605907744e-05,-7.538777427400129e-07,,,,
3M2Y,,,,,,,,,,,,,,
3M5Y,4.265951215776059e-05,2.8462754161939256e-06,,,,,,9.338737482580993e-06,1.8767262095522433e-06,,,,,
3M10Y,0.0002214649369143426,4.939944595043785e-05,1.3002295415115996e-05,4.0713631243260045e-06,,,,1.890357273438274e-05,8.542407396942344e-06,3.814229665954076e-06,1.6942479119638937e-06,,,
3M20Y,0.0005713773574803412,0.00016172123794108682,4.903230761704433e-05,1.6593401190277185e-05,,,,2.641873489217701e-06,-1.6916679957969526e-05,-1.0427867611523228e-05,-4.7507119308226926e-06,,,
3M30Y,0.0008647130448228015,0.00025247480324954715,7.86523346904665e-05,2.6945915480768325e-05,,,,-3.5627096276383123e-06,-3.501940821463814e-05,-2.2399029966177638e-05,-1.0931464933465836e-05,,,
6M2Y,1.0220733168576737e-05,,,,,,,-9.86975027580327e-08,,,,,,
6M5Y,9.40164036338819e-05,1.6431042928972178e-05,3.147050742135054e-06,6.687607803578691e-07,,,,1.1905685626280653e-05,5.191422220816309e-06,1.5304287428854964e-06,6.687607803578691e-07,,,
6M10Y,0.00033658789296695484,0.00011741067865895006,4.4476896823730756e-05,1.8791521448044453e-05,,,,2.5898344429029895e-05,1.531517273607736e-05,8.434992219928257e-06,5.131932249698979e-06,,,
6M20Y,0.0007879206658677742,0.0003196805769329687,0.00013482585727022517,6.073572732202645e-05,,,,3.5236972711663345e-05,4.17766324685865e-06,-3.825379275388966e-06,-3.1418271876857517e-06,,,
6M30Y,0.0011795412038593006,0.0004868473012186452,0.00020787057956842946,9.423780084607267e-05,,,,4.371789988239785e-05,-8.604186207552172e-06,-1.843187756484569e-05,-1.3777428984722277e-05,,,
9M2Y,2.1361352259968232e-05,,,,,,,9.318767633598865e-07,,,,,,
9M5Y,0.0001301350592341308,2.9752027146369776e-05,6.809618661328418e-06,1.6183224867024123e-06,,,,1.4134360829933245e-05,7.636858956718311e-06,2.8054060037790193e-06,7.904385995191205e-07,,,
9M10Y,,0.00017153788981633144,7.670819522575785e-05,3.717512291437945e-05,,,,,2.2970793722595643e-05,1.466194113303789e-05,9.623490161248552e-06,,,
9M20Y,0.0009107532858728814,0.00043162965047455605,0.00021060040093917544,0.00010456348512898913,,,,5.6553928306895965e-05,2.5371746404257816e-05,9.957476950768607e-06,-4.502386727299136e-06,,,
9M30Y,0.0013572643809346813,0.0006517864959150533,0.0003208701119020233,0.0001575920107984804,,,,7.595656007815786e-05,2.1842738361922654e-05,-7.650963318609014e-07,-2.4199434412192433e-05,,,
1Y2Y,,,,,,,,,,,,,,
1Y5Y,0.00016142903152017082,4.856390105233155e-05,,4.44490096144086e-06,5.095096859053906e-07,,,1.6562572169505482e-05,1.069985358537728e-05,,2.3609206152747136e-06,5.095096859053906e-07,,
1Y10Y,,0.00021080234379966962,,4.936566523680987e-05,1.5428324164195543e-05,6.356094311110616e-06,,,2.8746679749226415e-05,,1.2356599203424273e-05,6.818435683177524e-06,4.2315069250890796e-06,
1Y20Y,0.0009892932494244095,0.0004996922198604772,,0.00012761873325971998,3.7613260974526556e-05,1.3699722884631387e-05,,7.139640610422094e-05,3.9053772074354394e-05,,7.947974750445497e-06,4.362456357853247e-06,4.064788651276292e-06,
1Y30Y,0.0014762331678385672,0.0007608080193327322,,0.00020296995244422784,5.946617925920575e-05,1.8983833342754636e-05,,0.00010023017944830667,4.4697369863791025e-05,,-5.85899689381855e-07,-2.4933572860764616e-06,-3.5909232922943253e-07,
2Y2Y,7.687866801452273e-05,2.8222781202432314e-05,,3.7144982559494336e-06,7.428333490758201e-07,,,7.967902375894453e-06,6.020667654124437e-06,,1.9673271093626853e-06,5.169594093295374e-07,,
2Y5Y,0.00024738670270973013,0.00012086235601705923,,2.7138507173547815e-05,6.514514137145095e-06,1.9172542069768682e-06,,2.5724517157071968e-05,2.2102082497493116e-05,,1.0426172300339159e-05,3.8040740605454376e-06,1.4341390838128625e-06,
2Y10Y,0.0005782305546358201,0.0003351160410422851,,0.00010659208083213681,3.3734857392178874e-05,1.2317289236527147e-05,,5.943531286806581e-05,5.225941140819942e-05,,2.9310397094713898e-05,1.3983388991658112e-05,7.530006790962319e-06,
2Y20Y,0.0011825552718002432,0.0007201829495936373,,0.000254910785229054,8.781317910167322e-05,3.293137762866732e-05,,0.00011399445544488479,9.217441339752139e-05,,4.396718709054967e-05,1.9212271554764947e-05,1.1358984518763349e-05,
2Y30Y,0.001751928609413375,0.0010827989404567375,,0.00039836806991462755,0.00014407761181385077,5.30308674500544e-05,,0.00017045917541108667,0.00013681396797377807,,6.473451097223368e-05,2.8605505373623024e-05,1.4313668761348701e-05,
5Y2Y,0.00013655138038855917,9.488813846428374e-05,,4.612288586065287e-05,2.331856312051688e-05,1.2663600635714094e-05,,1.8598461677517648e-05,1.9842063053942233e-05,,1.8233836358177626e-05,1.3976363299123686e-05,9.796683831064918e-06,
5Y5Y,0.0003510480641964378,0.00025052059933645786,,0.00012644285100562008,6.311637375053415e-05,3.180841818140802e-05,,4.723095565361342e-05,4.87065254592256e-05,,4.233990034650981e-05,3.141224382242793e-05,2.1159020384025097e-05,
5Y10Y,0.0007110297679004928,0.0005188884004901621,,0.00027191715900014497,0.00013792136812192264,6.84971338461495e-05,,9.456682541459185e-05,9.55137475830678e-05,,8.045478795393147e-05,5.844928547579119e-05,3.8914354268503504e-05,
5Y20Y,0.0013762021578157379,0.001002718111161535,,0.0005234083489552128,0.00026379264707170286,0.00012962419265762724,,0.00017847719199011317,0.00017695840005339434,,0.00014278891758321238,0.00010008102437172849,6.528511044701885e-05,
5Y30Y,0.0020064318755925762,0.0014551773169475144,,0.0007513552259452253,0.000373853529381167,0.0001809076553951619,,0.0002606098852449627,0.0002553622239245616,,0.00020001279195154791,0.00013626005674635027,8.744796290173547e-05,
10Y2Y,0.00016009083106266134,0.00013041904900487383,,8.727047888494005e-05,5.8518860914852155e-05,3.966491381649067e-05,,2.7942001442989674e-05,2.9788811538751036e-05,,3.052594489773072e-05,2.8802370823707735e-05,2.5485533912445828e-05,
10Y5Y,0.0003943439218097474,0.00032015076080300453,,0.00021233030271794814,0.00014049985999707172,9.282717888984932e-05,,6.701066343639821e-05,7.083195888298854e-05,,7.07496147160282e-05,6.465566923495667e-05,5.5813203022502566e-05,
10Y10Y,0.0007736352850839848,0.0006269245892051369,,0.00041357543691190933,0.00027124324309220566,0.0001766845266000152,,0.00013031016892854137,0.00013647804337291647,,0.00013329755992283802,0.00011914202335045527,0.00010102361888202245,
10Y20Y,0.0014842793058556028,0.001187766409604892,,0.0007622864906457396,0.000484362009993991,0.00030418306368174664,,0.0002448802021538238,0.0002538687252148173,,0.000240248689525757,0.00020707067710242728,0.00016985626938036255,
10Y30Y,0.0021622988491855812,0.0017123697873934465,,0.001074884107387873,0.0006669909205836304,0.00040849736144529455,,0.0003535465439594114,0.000365075234658346,,0.00034023096298788,0.00028762585110876746,0.00023147828979246652,
15Y2Y,0.0001659738497258159,0.00014018930421422606,,0.000100610822979432,7.201781490557952e-05,5.152167154369522e-05,,3.289257223209073e-05,3.492861211742773e-05,,3.622425004967957e-05,3.5097813438128175e-05,3.231262260416846e-05,
15Y5Y,0.00040852270011899655,0.0003438436363305446,,0.00024525380391717607,0.0001748045866630497,0.00012413328724721512,,8.020700674096849e-05,8.48047873653959e-05,,8.679394629193062e-05,8.280949742812168e-05,7.563423956064015e-05,
15Y10Y,0.0008014121882362463,0.0006715157578615098,,0.00047418323895760564,0.0003338645268180408,0.00023346924983024865,,0.00015701748557254074,0.00016531660214589558,,0.00016702918852882384,0.00015699166136394277,0.00014145309469991766,
15Y20Y,0.0015468007660817409,0.0012778850579034232,,0.0008761495668452818,0.0005975009194844304,0.00040342731250705765,,0.0002941764153762639,0.00030830747660448604,,0.00030541903406301383,0.00027973904129272487,0.00024540262016430823,
15Y30Y,0.0022651275998084213,0.0018502975604075627,,0.0012407124249038364,0.0008283225159095985,0.0005489838566751717,,0.0004220708464695602,0.00044327338090893384,,0.0004384155637962427,0.0003985883802301621,0.0003457705666333701,
20Y2Y,0.00016997058161225817,0.00014626505105057156,,0.00010887403578100106,8.091763614127251e-05,5.995714077660235e-05,,3.823429816937012e-05,4.0493508709979896e-05,,4.223842155875478e-05,4.1593144372707325e-05,3.9258497241699946e-05,
20Y5Y,0.00041901373055475816,0.0003593340025584086,,0.00026593315823645095,0.00019671829395682657,0.00014472620804344786,,9.37432482577558e-05,9.900335033214493e-05,,0.00010238162252107193,9.973668576315688e-05,9.38163995999099e-05,
20Y10Y,0.0008213137692714787,0.0007041950202966798,,0.0005158143958566066,0.00037729561833112863,0.0002740735990008621,,0.00017788993305612334,0.0001929082486119517,,0.00019826583222590547,0.0001914939906851569,0.0001786468500606893,
20Y20Y,0.0016040057211726688,0.0013490504253114832,,0.0009598800190248524,0.0006815612075269861,0.0004803528326046781,,0.0003399780607318115,0.00035821316769253664,,0.00036394459970270037,0.0003452467502298451,0.0003155425970118818,
20Y30Y,0.002358898050404937,0.0019602889333989624,,0.0013640458706584606,0.0009504183622477279,0.0006613356964495997,,0.00048236488530293046,0.0005110668253773407,,0.0005220348047034843,0.0004945805364401511,0.0004487408148134192,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
VegaPrice_per1pct (OTM) - Collars/Strangles,,,,,,,,,,,,,,
,Collars,,,,,,ATM,Strangles,,,,,,
,50,100,150,200,300,400,ATM,50,100,150,200,300,400,
1M2Y,,,,,,,,,,,,,,
1M5Y,6.165329382078726e-06,,,,,,,1.4264982553369407e-05,,,,,,
1M10Y,1.2222857743996251e-05,,,,,,,0.00014858420998333622,,,,,,
