C1,C2,C3,C4,C5,C6,C7,C8,C9,C10,C11,C12,C13,C14,C15
"DeltaPrice_FD_df=0,5bps -> per1bp (ATM STRADDLE)",,,,,,,,,,,,,,
ExpiryLbl,1Y,2Y,3Y,4Y,5Y,6Y,7Y,8Y,9Y,10Y,15Y,20Y,25Y,30Y
9M30Y,0.0013572754139354118,0.000651794651453915,0.00032087497730608926,0.0001575946795928622,,,,7.59559626062563e-05,2.184405336335935e-05,-7.637496507271191e-07,-2.4198512965424035e-05,,,
1Y2Y,,,,,,,,,,,,,,
1Y5Y,0.00016143302496063796,4.856581758742676e-05,,4.4451629377690525e-06,5.095483061840902e-07,,,1.6562443185069564e-05,1.0700226392249798e-05,,2.3610857778453297e-06,5.095483061840902e-07,,
1Y10Y,,0.00021080530699141243,,4.936659882071802e-05,1.5428632500836427e-05,6.356222547146708e-06,,,2.8747002211511997e-05,,1.2357000046852754e-05,6.818650712048255e-06,4.231621147339845e-06,
1Y20Y,0.0009892994858862994,0.0004996972268825315,,0.00012762062374432472,3.7613887940584436e-05,1.3699962821583728e-05,,7.1395626538546e-05,3.905435307174119e-05,,7.948677347407629e-06,4.362815824469104e-06,4.064976239919248e-06,
1Y30Y,0.0014762417084421,0.0007608150751518644,,0.00020297272968665118,5.946709479416114e-05,1.8984141821577045e-05,,0.00010022914563037499,4.46982881794523e-05,,-5.848820545176103e-07,-2.4928718818336696e-06,-3.5887481518014494e-07,
2Y2Y,7.687986219950405e-05,2.8223487721832075e-05,,3.7146406314550486e-06,7.42865907476614e-07,,,7.967804134971935e-06,6.020774088360907e-06,,1.96741240575189e-06,5.169869006724325e-07,,
2Y5Y,0.00024738838524964753,0.00012086366906359854,,2.7138975016670883e-05,6.514660466303972e-06,1.9173050239086194e-06,,2.5724179680004622e-05,2.210215330455941e-05,,1.0426387969491885e-05,3.8041856739161266e-06,1.434186155193986e-06,
2Y10Y,0.0005782324803102576,0.0003351178352927943,,0.0001065930085040789,3.373524824614885e-05,1.2317458459485947e-05,,5.943467259022017e-05,5.225935413719476e-05,,2.9310726333036477e-05,1.3983641949744628e-05,7.530152203503045e-06,
2Y20Y,0.0011825583002520624,0.0007201859485027659,,0.00025491253489372094,8.781398151717268e-05,3.2931733026923605e-05,,0.00011399335540588488,9.217431324672432e-05,,4.3967761993754384e-05,1.921273108859667e-05,1.1359259914253298e-05,
